X,Y,Z,Roll,Pitch,Yaw,Vx,Vy,Vz,Wx,Wy,Wz,Act_m1,Act_m2,Act_m3,Act_m4
-17.62710845667676,-9.960014180178174,-30.086676184216238,0.10822183568566242,-0.22407029001266918,0.0800331464836423,46.28665059254722,23.50983469173756,-166.87868826189043,-1.4799263322174245,2.792790854965527,-0.7770666655766812,62297.8342294693,54552.51930952072,53105.455416440964,64900.0
-17.21203693879164,-9.301364336538375,-32.32476965059974,0.1271175451280337,-0.30087932007959806,0.08657316040545321,42.40242450894273,33.742421220374375,-187.7476729192541,-1.8288504567836976,4.153987938069413,-0.7749245964465056,62405.5045902729,54638.23507428169,53182.77582526207,64900.0
-15.176300436738051,-8.536543860657169,-34.55803120998523,0.15828485568605566,-0.30577011592042297,0.08534402319185008,78.24608151248047,40.56171869735874,-203.7506474426844,-1.9640895124663493,3.364472797821064,-1.0114799744663063,61878.23523283005,54191.18456840515,53726.69733762741,64900.0
-13.686409885610123,-7.729007571242255,-36.99518464066388,0.18040618380642026,-0.36281650304753593,0.1115243577329434,96.01309989741976,52.831487500217676,-229.68348695909245,-2.1428525377283236,4.3311848536088355,-0.8339314831003988,60923.99206161499,53100.0,53458.875530958176,64900.0
-12.123614985866988,-7.065899500977813,-39.54149581312612,0.20841200780773797,-0.4189713382638837,0.15722416697413255,109.31960976122744,61.51363353327956,-249.47780116227477,-2.52733365944784,4.889832122352947,-1.7085448477192589,61067.104518413544,53100.0,53107.683581113815,64900.0
-9.585913232218141,-5.81505446939453,-42.20315798285087,0.24181712391520951,-0.479555309930064,0.17271595395126826,138.51065994524106,69.94406246825497,-265.00349076661894,-3.159357606407104,5.509729147751133,-1.7858245109570192,64101.26485824585,53100.0,53100.0,64900.0
-6.825369897759856,-4.447455244152275,-45.17563688610682,0.27753264652862825,-0.5634354547674296,0.1952734730081959,180.17034491316994,88.27173481176851,-293.3978690553154,-3.3362982093121745,6.495086047209428,-1.9558025502651009,64101.26556158066,53100.0,53100.0,64900.0
-2.7420651065468644,-2.6663927369510647,-47.7452934006228,0.26240411595133745,-0.5720296332343217,0.21236563968544114,235.62331351826538,101.76070170141506,-308.8845985514782,-3.4531739887564483,6.703232463096495,-1.3185349718402672,64900.0,53100.0,53100.0,64900.0
1.0009239435639639,-0.6726585601707589,-50.72493885600043,0.2837200314830362,-0.6408735140246469,0.24508722089660118,268.32267745059704,128.74186686147016,-303.57769865338526,-2.2863937268543157,5.108666192583005,-2.7916094445447714,64605.07272481918,53100.0,53100.0,64900.0
5.209503325641113,0.9679554697839869,-52.99135082054474,0.3464769339431758,-0.7025701711094092,0.2777702869051831,301.7812467875881,144.93121904111317,-301.8831282215089,-3.348976850505226,6.573032696071027,-2.6081841646408463,63667.75108575821,53100.0,53100.0,64900.0
